source,title,price_usd,currency,condition,item_id,seller,location,url,sold_date
active,Omega x Swatch BIOCERAMIC MoonSwatch Mission to Earthphase SO33M700 Gray Japan,749.49,USD,New with box and papers,v1|336129792945|0,yamakenya2022,JP,https://www.ebay.com/itm/336129792945?_skw=moonswatch+earthphase+SO33M700&hash=item4e42e59bb1:g:hqEAAeSwROFqJ3e3,
active,Swatch x Omega Moonswatch Mission To Earthphase SO33M700 Black Gray New,654.07,USD,New with box and papers,v1|296862835536|0,raijapan,JP,https://www.ebay.com/itm/296862835536?_skw=moonswatch+earthphase+SO33M700&hash=item451e676350:g:wBAAAOSwM8VnUxYh,
active,OMEGA × Swatch BIOCERAMIC MoonSwatch Mission to Earthphase SO33M700,696.32,USD,New with box and papers,v1|316674544488|0,yumara13,JP,https://www.ebay.com/itm/316674544488?_skw=moonswatch+earthphase+SO33M700&hash=item49bb461368:g:IFMAAeSwRqFolfLH,
active,Omega x Swatch Speedmaster MoonSwatch Mission to Earthphase SO33M700 #M-8500,528.57,USD,Pre-owned - Good,v1|366643405919|0,takumijapancollection,JP,https://www.ebay.com/itm/366643405919?_skw=moonswatch+earthphase+SO33M700&hash=item555da6645f:g:JwcAAeSw6wNql5ku,
active,Swatch x Omega MoonSwatch Mission to Earthphase SO33M700 42mm New Full Set,490.0,USD,New with box and papers,v1|188636738178|0,tokyowatchstudio,JP,https://www.ebay.com/itm/188636738178?_skw=moonswatch+earthphase+SO33M700&hash=item2beba03282:g:lRgAAeSwh0NqVZIn,
active,Swatch x Omega Moonswatch Mission To Earthphase SO33M700 Black Gray New,478.97,USD,New with box and papers,v1|277091890785|0,ururu2019,JP,https://www.ebay.com/itm/277091890785?_skw=moonswatch+earthphase+SO33M700&hash=item4083f6b661:g:W7gAAOSwbHFoFs5q,
active,[TOP MINT w/Box] Omega x Swatch Moonswatch Mission To The Earthphase Gray JAPAN,419.99,USD,Pre-owned - Good,v1|168680576605|0,japan_watch_gallery,JP,https://www.ebay.com/itm/168680576605?_skw=moonswatch+earthphase+SO33M700&hash=item274625565d:g:ghkAAeSwfu9pMnAm,
active,Swatch x Omega Moonswatch Mission To Earthphase SO33M700 Black Gray New,485.0,USD,New with box and papers,v1|267687244818|0,kaokao0120,JP,https://www.ebay.com/itm/267687244818?_skw=moonswatch+earthphase+SO33M700&hash=item3e53673412:g:nMIAAeSw54xqHjiA,
