日付,証明番号,ゲーム,カード番号,キャラ名,セット,仕入値,出品数,全体中央値,TOP中央値,目標価格,損益分岐,乖離率,判定,出品価格
2026-04-13,142490880,Pokemon,225,Mega Eelektross Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,7,47.99,47.99,169.84,108.30,254%,NO-GO,
2026-04-13,142490878,Pokemon,229,Mega Hawlucha Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,9900,10,70.00,69.99,152.51,108.30,118%,NO-GO,
2026-04-13,142490869,Pokemon,226,Mega Gardevoir Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,12500,8,80.00,79.99,185.83,131.96,132%,NO-GO,
2026-04-13,142490866,Pokemon,228,Mega Lucario Ex Mega Attack,POKEMON JAPANESE M2A-MEGA DREAM EX,13500,31,100.00,100.00,198.64,141.06,99%,NO-GO,
2026-04-13,142490859,Pokemon,235,Mega Eelektross Ex,POKEMON JAPANESE M2A-MEGA DREAM EX,11500,13,99.95,99.95,173.01,122.86,73%,NO-GO,
2026-04-13,142490852,Pokemon,247,Iris's Fighting Spirit,POKEMON JAPANESE M2A-MEGA DREAM EX,24500,13,219.75,219.75,282.05,241.17,28%,保留,282.98
2026-04-13,109204387,One Piece Card Game,004,Shanks,A Fist of Divine Speed,32000,193,226.67,242.49,361.88,309.43,60%,NO-GO,
2026-04-13,141914012,One Piece Card Game,119,Monkey D. Luffy,Premium Booster -One Piece Card the Best-,15699,546,155.74,165.00,205.82,161.08,32%,保留,205.98
2026-04-13,151238659,One Piece Card Game,119,Trafalgar Law,Premium Booster -One Piece Card the Best- VOL.2,28800,96,349.99,279.99,327.82,280.31,-6%,GO,332.98
2026-04-14,156103472,One Piece Card Game,116,Gum-Gum Golden Rifle,Adventure On Kami's Island,50000,3,444.00,,553.46,473.25,25%,NO-GO,
2026-04-14,94175225,One Piece Card Game,007,Jewelry Bonney,Two Legends,21000,72,250.00,250.00,244.80,209.32,-2%,GO,237.98
2026-04-14,156103472,One Piece Card Game,116,Gum-Gum Golden Rifle,Adventure On Kami's Island,50000,3,444.00,,553.46,473.25,25%,NO-GO,
2026-04-14,94175225,One Piece Card Game,007,Jewelry Bonney,Two Legends,21000,72,250.00,250.00,244.80,209.32,-2%,GO,237.98
2026-04-14,156103472,One Piece Card Game,116,Gum-Gum Golden Rifle,Adventure On Kami's Island,50000,3,444.00,,553.46,473.25,25%,NO-GO,
2026-04-14,94175225,One Piece Card Game,007,Jewelry Bonney,Two Legends,21000,72,250.00,250.00,244.80,209.32,-2%,GO,237.98
2026-04-14,155746272,One Piece Card Game,077,Lightning Dragon,Adventure On Kami's Island,49800,0,,,,,,先行出品,100.0
2026-04-14,135694642,Dragon Ball Super Card Game,FB04-095,Majin Buu : Kid FB04 Visual,Wish For Shenron,33333,1,879.23,879.23,376.06,321.56,-57%,GO,835.98
2026-04-14,109204387,One Piece Card Game,004,Shanks,A Fist of Divine Speed,30000,191,224.98,238.54,340.59,291.23,51%,NO-GO,
2026-04-14,155746272,One Piece Card Game,077,Lightning Dragon,Adventure On Kami's Island,49800,0,,,,,,先行出品,100.0
2026-04-14,135694642,Dragon Ball Super Card Game,FB04-095,Majin Buu : Kid FB04 Visual,Wish For Shenron,33333,1,879.23,879.23,376.06,321.56,-57%,GO,835.98
2026-04-14,109204387,One Piece Card Game,004,Shanks,A Fist of Divine Speed,30000,191,224.98,238.54,340.59,291.23,51%,NO-GO,
2026-04-15,92862502,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,8480,2,430.00,430.00,102.43,88.63,-76%,GO,408.98
2026-04-15,94156788,Dragon Ball Super Card Game,FB01-096,Vegeta Ultimate,Ultimate Battle Winner Prize,31100,18,460.00,480.07,323.51,279.94,-30%,GO,437.98
2026-04-15,155455140,Dragon Ball Super Card Game,SB01-023,Son Goku,Manga Booster 01,42000,15,1299.00,3150.41,430.04,372.13,-67%,GO,1234.98
